Chinese (Simplified),English,Category,Description,Reference,Chinese (Traditional),Korean,Japanese,Swedish,Polish,Dutch,Indonesian,Spanish,Turkish,Vietnamese,French,German,Italian,Russian,Portuguese,Thai,Malaysian,Arabic
机密数据终端,Classified Data Hub,Name,基地蓝色订单名称 | Blue order from Foundation,,機密數據終端,기밀 데이터 단말기,機密データ端末,Klassificerad datahubb,Tajne centrum danych,Geheime gegevenshub,Data Hub Rahasia,Centro de datos clasif.,Gizli Veri Merkezi,Thiết Bị Dữ Liệu Mật,Hub d'infos top secret,Geheimes Datenarchiv,Hub dei dati riservati,Секретная база данных,Centro de Dados Secreto,ศูนย์ข้อมูลลับ,Hab Data Sulit,مركز البيانات المصنفة
绝密服务器列阵,Classified Server Array,Name,银河帝国橙色订单名称 | Orange order from Galactic Empire,,絕密伺服器陣列,기밀 서버 네트워크,極秘サーバー,Hemligstämplad serveruppsättning,Tajne serwery,Geheime servers,Server Array Rahasia,Matriz servidores clasif.,Arıtılmış Metal,Mảng Máy Chủ Mật,Serveurs top secret,Geheimes Serversystem,Array di server segreti,Секретный кластер серверов,Servidores Secretos,อาร์เรย์เซิร์ฟเวอร์ลับ,Tatasusunan Pelayan Rahsia,مجموعة الخوادم المصنفة
觉醒效果,Awakening Effect,Name,,,覺醒效果,각성 효과,覚醒効果,Effekt av Uppvaknande,Efekt przebudzenia,Ontwakingseffect,Efek Kebangkitan,Efecto de despertar,Uyanış Etkisi,Hiệu Ứng Thức Tỉnh,Effet d'éveil,Erweckungseffekt,Effetto Risveglio,Эффект пробуждения,Efeito de Despertar,เอฟเฟกต์ปลุกพลัง,Kesan Kebangkitan,تأثير التفعيل
开拓者矿业,Pioneer Mining,Name,,,開拓者礦業,개척자 채광업,開拓者鉱業,Pionjärbrytning,Śmiałe wydobycie,Pioniersmijnen,Penambangan Pelopor,Minería de los Pioneros,Öncü Madencilik,Khai Khoáng Tiên Phong,Extractions des pionniers,Pioneers Bergbau,Estrazioni dei pionieri,Новаторская добыча ресурсов,Pioneers Mining,การขุดเหมืองเบิกทาง,Perintis Perlombongan,التعدين الريادي
勘探物资箱,Exploration Supply Box,Name,基地绿色订单名称 | Green order from Foundation,,勘探物資箱,탐사 보급 상자,探査物資ボックス,Förnödenhetslåda för utforskande,Pudełko z zaopatrzeniem na eksplorację,Voorraadkist voor verkenningen,Kotak Pasokan Jelajah,Caja sum. exploración,Keşif İkmal Kutusu,Hộp Vật Tư Khám Phá,Fournitures d'expl.,Expeditionsvorräte,Scatola dei rifornimenti per l'esplorazione,Контейнер припасов для экспедиции,Provisões de Exploração,กล่องเสบียงการสำรวจ,Kotak Bekalan Penerokaan,صندوق إمدادات الاستكشاف
科研工具箱,Research Tool Kit,Name,基地白色订单名称 | White order from Foundation,,科研工具箱,과학 기술 공구 세트,研究キット,Kit med forskningsverktyg,Pakiet narzędzi badawczych,Onderzoekskit,Kit Alat Riset,Kit herr. investigación,Araştırma Araç Kiti,Bộ Dụng Cụ Nghiên Cứu,Outils de recherche,Forschungswerkzeuge,Kit di strumenti per la ricerca,Набор инструментов исследователя,Kit de Pesquisa,ชุดเครื่องมือวิจัย,Kit Alat Penyelidikan,مجموعة أدوات البحث
联合舰队I,United Fleet I,Name,商会科技 | Guild Research,,聯合艦隊I,연합 함대I,連合艦隊Ⅰ,Enad flotta I,Zjednoczona flota I,Verenigde vloot I,Armada Gabungan I,Flota unida I,Birleşmiş Filo I,Hạm Đội Thống Nhất I,Flotte unie I,Flottenverband I,Flotta unita I,Объединенный флот I,Frota Unida I,กองยานผสม I,Armada Bersatu I,الأسطول الموحد I
盟友,Ally,Name,"玩家在商会中的伙伴。此描述一般出现在口语化语境中（如剧情台词、语音提示） | A player's partner in the guild. Typically used in conversational contexts (e.g., dialogue, voice prompts).",,盟友,동맹원,ギルド仲間,Allierade,Sojusznicy,Bondgenoten,Sekutu,Aliados,Müttefikler,Đồng Minh,Alliés,Verbündete,Alleati,Союзники,Aliados,พันธมิตร,Sekutu,الحلفاء
商会成员,Guild Member,Name,玩家在商会中的伙伴。此描述一般出现在对系统功能的客观描述中 | A player's partner in the guild. Typically used in objective descriptions of system functions.,,商會成員,길드원,ギルドメンバー,Medlemmar i handelsgille,Członkowie gildii handlowej,Handelsgildeleden,Anggota Guild Perdagangan,Miembros del gremio de comercio,Ticaret Loncası Üyeleri,Thành Viên Thương Hội,Membres de la guilde du commerce,Gildenmitglieder,Membri della Gilda del commercio,Участники торговой гильдии,Membros da Guilda Comercial,สมาชิกสมาคมการค้า,Ahli Persatuan Perdagangan,أعضاء نقابة التجارة
秘密物资,Secret Material,Name,基地紫色订单名称 | Purple order from Foundation,,祕密物資,비밀 보급품,秘密物資,Hemligt material,Tajny materiał,Geheim materiaal,Material Rahasia,Material secreto,Gizli Malzeme,Vật Liệu Bí Mật,Matériel secret,Geheimmaterial,Materiale segreto,Секретный материал,Material Secreto,วัสดุลับ,Bahan Rahsia,المادة السرية
凝聚宝箱,Unity Chest,Bundle,捐献凝聚积分可获得的宝箱 | Chest from Unity Points,,凝聚寶箱,응집 보물상자,結束BOX,Enighetskista,Skrzynia wspólnoty,Eenheidskist,Peti Persatuan,Cofre de unidad,Birlik Sandığı,Rương Thống Nhất,Coffre d'unité,Einheitstruhe,Forziere unità,Кейс единства,Baú de Unidade,หีบสามัคคี,Peti Kesatuan,صندوق الوحدة
凝聚积分,Unity Points,Item,行商纪元完成日常任务获得的积分 | Points from Trader Era daily quests,,凝聚積分,응집 포인트,結束ポイント,Enighetspoäng,Punkty wspólnoty,Eenheidspunten,Poin Persatuan,Puntos de unidad,Birlik Puanları,Điểm Thống Nhất,Points d'unité,Einheitspunkte,Punti unità,Очки единства,Pontos de Unidade,คะแนนสามัคคี,Mata Kesatuan,نقاط الوحدة
皮下植入芯片,Subdermal Implant Chip,Name,诺维斯生命科技橙色订单名称 | Orange order from Novis LifeTech,,皮下植入晶片,체내 삽입 칩,皮下インプラント,Underhudschipp,Implant biochip,Onderhuids implantaat,Chip Implan Subdermal,Chip implante subdérmico,Deri Altı İmplant Çipi,Chip Cấy Ghép Dưới Da,Implant sous-cutané,Subkutanes Implantat,Chip impianto sottocutaneo,Подкожный чип,Implante Subdérmico,ชิปฝังใต้ผิวหนัง,Cip Implan Bawah Kulit,رقاقة زرع تحت الجلد
破晓,Dawnbringer,Name,高阶旗舰皮肤 | Advanced Flagship skin,,破曉,여명,黎明,Gryningsbäraren,Jutrzenka,Dageraadbrenger,Dawnbringer,Portador del alba,Şafak Getiren,Thần Sứ Bình Minh,Dawnbringer,Morgenglanz,Portatore d'alba,Вестник зари,Arauto da Aurora,ผู้อัญเชิญรุ่งอรุณ,Pembawa Fajar,جالب الفجر
清剿敌人,Eliminate Enemies,Name,,,清剿敵人,적 소탕,敵殲滅,Eliminera fiender,Wyeliminuj wroga,Elimineer vijanden,Singkirkan Musuh,Eliminar a los enemigos,Düşmanları Yok Et,Tiêu Diệt Kẻ Địch,Éliminer les ennemis,Feinde besiegen,Elimina i nemici,Уничтожить врагов,Abater Inimigos,กำจัดศัตรู,Hapuskan Musuh,القضاء على الأعداء
轻型护甲模块,Light Armor Module,Name,库伦工业白色订单名称 | White order from Coulomb Industries,,輕型護甲模組,경량 방어 모듈,軽装甲モジュール,Lätt pansarmodul,Moduł lekkiej zbroi,Lichte-pantsermodule,Modul Armor Ringan,Módulo armadura ligera,Hafif Zırh Modülü,Mô-đun Giáp Nhẹ,Module d'armure légère,Leichte Rüstungsmodule,Modulo armatura leggera,Легкий модуль обшивки,Módulo de Armadura Leve,โมดูลเกราะเบา,Modul Perisai Ringan,وحدة الدروع الخفيفة
求知,Knowledge,Skill,王侯技能名称 | Prince Ability,,求知,탐구,探求,Kunskap,Wiedza,Kennis,Pengetahuan,Conocimiento,Bilgi,Kiến Thức,Savoir,Wissen,Conoscenza,Знание,Conhecimento,ความรู้,Pengetahuan,المعرفة
旗舰核心部件,Flagship Core Component,Name,库伦工业橙色订单名称 | Orange order from Coulomb Industries,,旗艦核心組件,군함 코어 부품,旗艦コアパーツ,Kärnkomponent för flaggskepp,Główny komponent okrętu flagowego,Vlaggenschipkerncomponent,Komponen Inti Flagship,Comp. centr nave insig.,Amiral Gemisi Çekirdek Bileşeni,Bộ Phận Lõi Soái Hạm,Composant de cœur,Kernkomponenten,Componente principale dell'ammiraglia,Ключевой компонент флагмана,Peça Central de Capitânia,ชิ้นส่วนหลักยานเรือธง,Komponen Teras Kapal Laksamana,مكوّن النواة لسفينة القيادة
旗舰武库系统,Flagship Arsenal System,Name,库伦工业紫色订单名称 | Purple order from Coulomb Industries,,旗艦武庫系統,군함 무기고 시스템,旗艦兵装システム,Flaggskepps arsenalsystem,System zbrojeniowy okrętu flagowego,Vlaggenschip-arsenaalsysteem,Sistem Senjata Flagship,Sis. arsenal nave insig.,Amiral Gemisi Cephanelik Sistemi,Hệ Thống Kho Vũ Khí Soái Hạm,Arsenal amiral,Flaggschiffarsenal,Sistema arsenale ammiraglia,Система арсенала флагмана,Arsenal de Capitânia,ระบบอาวุธยานเรือธง,Sistem Senjata Kapal Laksamana,نظام ترسانة سفينة القيادة
区域防疫设备,Disease Control Device,Name,诺维斯生命科技绿色订单名称 | Green order from Novis LifeTech,,區域防疫設備,지역 방역 장치,防疫設備,Enhet för smittokontroll,Urządzenie do zapobiegania chorobom zakaźnym,Ziektebeheersingsysteem,Alat Kontrol Penyakit,Disp. ctrl. enfermedades,Hastalık Kontrol Cihazı,Thiết Bị Kiểm Soát Bệnh,Contrôle des maladies,Seuchenkontrollgerät,Dispositivo di controllo delle malattie,Устройство контроля инфекции,Aparato Anti-doenças,อุปกรณ์ควบคุมโรค,Peranti Kawalan Wabak,جهاز مكافحة الأمراض
商运专用引擎I,Trade Shipping Engine I,Name,,,商運專用引擎I,상업용 엔진I,商用エンジンⅠ,Motor för handelsleverans I,Silnik transportu handlowego I,Motor handelsreis I,Mesin Pengiriman Dagang I,Motor para envío comercial I,Ticaret Sevkiyatı Motoru I,Động Cơ Thương Vận I,Moteur d'expédition commerciale I,Frachtantrieb I,Motore di spedizione commerciale I,Двигатель для торговых перевозок I,Motor de Transporte Comercial I,เครื่องยนต์การจัดส่งสินค้า I,Enjin Penghantaran Perdagangan I,محرك الشحن التجاري I
商运专用引擎II,Trade Shipping Engine II,Name,,,商運專用引擎II,상업용 엔진II,商用エンジンⅡ,Motor för handelsleverans II,Silnik transportu handlowego II,Motor handelsreis II,Mesin Pengiriman Dagang II,Motor para envío comercial II,Ticaret Sevkiyatı Motoru II,Động Cơ Thương Vận II,Moteur d'expédition commerciale II,Frachtantrieb II,Motore di spedizione commerciale II,Двигатель для торговых перевозок II,Motor de Transporte Comercial II,เครื่องยนต์การจัดส่งสินค้า II,Enjin Penghantaran Perdagangan II,محرك الشحن التجاري II
商运专用引擎III,Trade Shipping Engine III,Name,,,商運專用引擎III,상업용 엔진III,商用エンジンⅢ,Motor för handelsleverans III,Silnik transportu handlowego III,Motor handelsreis III,Mesin Pengiriman Dagang III,Motor para envío comercial III,Ticaret Sevkiyatı Motoru III,Động Cơ Thương Vận III,Moteur d'expédition commerciale III,Frachtantrieb III,Motore di spedizione commerciale III,Двигатель для торговых перевозок III,Motor de Transporte Comercial III,เครื่องยนต์การจัดส่งสินค้า III,Enjin Penghantaran Perdagangan III,محرك الشحن التجاري III
商运专用引擎IV,Trade Shipping Engine IV,Name,,,商運專用引擎IV,상업용 엔진IV,商用エンジンⅣ,Motor för handelsleverans IV,Silnik transportu handlowego IV,Motor handelsreis IV,Mesin Pengiriman Dagang IV,Motor para envío comercial IV,Ticaret Sevkiyatı Motoru IV,Động Cơ Thương Vận IV,Moteur d'expédition commerciale IV,Frachtantrieb IV,Motore di spedizione commerciale IV,Двигатель для торговых перевозок IV,Motor de Transporte Comercial IV,เครื่องยนต์การจัดส่งสินค้า IV,Enjin Penghantaran Perdagangan IV,محرك الشحن التجاري IV
商运专用引擎V,Trade Shipping Engine V,Name,,,商運專用引擎V,상업용 엔진V,商用エンジンⅤ,Motor för handelsleverans V,Silnik transportu handlowego V,Motor handelsreis V,Mesin Pengiriman Dagang V,Motor para envío comercial V,Ticaret Sevkiyatı Motoru V,Động Cơ Thương Vận V,Moteur d'expédition commerciale V,Frachtantrieb V,Motore di spedizione commerciale V,Двигатель для торговых перевозок V,Motor de Transporte Comercial V,เครื่องยนต์การจัดส่งสินค้า V,Enjin Penghantaran Perdagangan V,محرك الشحن التجاري V
生存挑战,Survival Challenge,Name,春日庆典中的活动 | Event in Springtime Celebration,,生存挑戰,서바이벌 테스트,サバイバルチャレンジ,Överlevnadsutmaning,Musisz przetrwać,Overlevingsuitdaging,Tantangan Bertahan Hidup,Desafío de supervivencia,Hayatta Kalma Mücadelesi,Thử Thách Sinh Tồn,Défi de survie,Überlebensherausforderung,Sfida di sopravvivenza,Испытание на выживание,Desafio de Sobrevivência,ท้าทายเอาตัวรอด,Cabaran Kelangsungan,تحدي النجاة
守卫友军,Defend Allies,Name,,,守衛友軍,아군 보호,味方防衛,Försvara allierade,Broń sojuszników,Verdedig bondgenoten,Lindungi Sekutu,Defender a los aliados,Müttefikleri Savun,Bảo Vệ Đồng Minh,Défendre les alliés,Verbündete verteidigen,Difendi gli alleati,Защита союзников,Defender Aliados,ปกป้องพันธมิตร,Pertahankan Sekutu,الدفاع عن الحلفاء
四时奇遇礼包,Seasonal Encounters Pack,Bundle,春日庆典中的礼包 | Bundle in Springtime Celebration,,四時奇遇禮包,사계절 행운 패키지,四季パック,Säsongsmöten-paket,Pakiet Sezonowych Incydentów,Seizoensontmoetingen-bundel,Paket Pertemuan Musiman,Paquete de encuentros de temporada,Sezonluk Karşılaşmalar Paketi,Gói Tương Ngộ Bốn Mùa,Packs de rencontres saisonnières,Frühlingsabenteuer-Paket,Pacchetto Incontri della stagione,Набор «Сезонные встречи»,Pacote de Encontros da Temporada,แพ็กการพบปะประจำฤดูกาล,Pek Pertemuan Bermusim,حزمة المواجهات الموسمية
通缉,Traderhunt,Skill,王侯技能名称 | Prince Ability,,通緝,현상 수배,賞金首,Handlarjakt,Pościg handlarza,Handelaarsjacht,Perburuan Trader,Caza de comerciantes,Tüccar Avı,Săn Lùng Thương Nhân,Chasse aux commerçants,Händlerjagd,Caccia al mercante,Охота на торговцев,Caça ao Negociante,ล่าผู้ค้า,Perburuan Pedagang,مطاردة التجار
